Year,Food Handling Classification,Food Category,Food Name,Food details,Method,Organism,Concentration,Unit,Agency,Survey,Source URL,Access Date,Remarks
2021,Ingredients,Chicken,Chicken,成鶏 (中抜き),plate_count,Campylobacter spp.,0.49,log CFU/g,unspecified,令和元年度と畜場及び食鳥処理場に関する実態調査,https://www.mhlw.go.jp/content/11130500/000803740.pdf,,value: 平均値; 問い合わせ: 要; 
2021,Ingredients,Chicken,Chicken,肉用若鳥 (中抜き),plate_count,Campylobacter spp.,0.73,log CFU/g,unspecified,令和元年度と畜場及び食鳥処理場に関する実態調査,https://www.mhlw.go.jp/content/11130500/000803740.pdf,,value: 平均値; 問い合わせ: 要; 
2021,Ingredients,Chicken,Chicken,肉用若鳥 (外剥ぎ),plate_count,Campylobacter spp.,0.17,log CFU/g,unspecified,令和元年度と畜場及び食鳥処理場に関する実態調査,https://www.mhlw.go.jp/content/11130500/000803740.pdf,,value: 平均値; 問い合わせ: 要; 
2018~2019,Ingredients,Vegetable or fruit and their products,Sprout,White radish sprouts,plate_count,Listeria monocytogenes,50,CFU/g,"Ministry of Agriculture, Forestry and Fisheries",施設におけるスプラウトの衛生管理の取組状況等に関する調査,https://www.maff.go.jp/j/syouan/nouan/kome/k_yasai/attach/pdf/index-7.pdf,,検査方法_詳細: ISO 11290-2:1998/Amd.1 2004;食品詳細:かいわれ大根
2000~2015,Ingredients,Other or unknown types of meat,Other processed meat products,Sausage,plate_count,Listeria monocytogenes,65,CFU/g,Tokyo Metropolitan Institute of Public Health,食品からのListeria monocytogenes検出法 および定量法の比較,https://www.jstage.jst.go.jp/article/jsfm/33/3/33_155/_pdf,,検査方法_詳細: ISO定量法;
2000~2015,Ingredients,Other or unknown types of meat,Other processed meat products,Sausage,plate_count,Listeria monocytogenes,35,CFU/g,Tokyo Metropolitan Institute of Public Health,食品からのListeria monocytogenes検出法 および定量法の比較,https://www.jstage.jst.go.jp/article/jsfm/33/3/33_155/_pdf,,検査方法_詳細: ISO定量法;
2000~2015,Ingredients,Other or unknown types of meat,Other processed meat products,Sausage,plate_count,Listeria monocytogenes,20,CFU/g,Tokyo Metropolitan Institute of Public Health,食品からのListeria monocytogenes検出法 および定量法の比較,https://www.jstage.jst.go.jp/article/jsfm/33/3/33_155/_pdf,,検査方法_詳細: ISO定量法;
2000~2015,Ingredients,Other or unknown types of meat,Other processed meat products,Sausage,plate_count,Listeria monocytogenes,5,CFU/g,Tokyo Metropolitan Institute of Public Health,食品からのListeria monocytogenes検出法 および定量法の比較,https://www.jstage.jst.go.jp/article/jsfm/33/3/33_155/_pdf,,検査方法_詳細: ISO定量法;
2000~2015,Ingredients,Other or unknown types of meat,Other processed meat products,Sausage,MPN,Listeria monocytogenes,2.1,MPN/g,Tokyo Metropolitan Institute of Public Health,食品からのListeria monocytogenes検出法 および定量法の比較,https://www.jstage.jst.go.jp/article/jsfm/33/3/33_155/_pdf,,
2000~2015,Ingredients,Other or unknown types of meat,Other processed meat products,Sausage,MPN,Listeria monocytogenes,0.36,MPN/g,Tokyo Metropolitan Institute of Public Health,食品からのListeria monocytogenes検出法 および定量法の比較,https://www.jstage.jst.go.jp/article/jsfm/33/3/33_155/_pdf,,
2000~2015,Ingredients,Aquatic food product,Seafood,Squid beak,plate_count,Listeria monocytogenes,290,CFU/g,Tokyo Metropolitan Institute of Public Health,食品からのListeria monocytogenes検出法 および定量法の比較,https://www.jstage.jst.go.jp/article/jsfm/33/3/33_155/_pdf,,検査方法_詳細: ISO定量法;
2000~2015,Ingredients,Aquatic food product,Other processed seafood products,Sliced tuna,plate_count,Listeria monocytogenes,5,CFU/g,Tokyo Metropolitan Institute of Public Health,食品からのListeria monocytogenes検出法 および定量法の比較,https://www.jstage.jst.go.jp/article/jsfm/33/3/33_155/_pdf,,検査方法_詳細: ISO定量法;
2000~2015,Ready-to-Eat (RTE),Aquatic food product,Other processed seafood products,Negitoro (minced tuna),plate_count,Listeria monocytogenes,5,CFU/g,Tokyo Metropolitan Institute of Public Health,食品からのListeria monocytogenes検出法 および定量法の比較,https://www.jstage.jst.go.jp/article/jsfm/33/3/33_155/_pdf,,検査方法_詳細: ISO定量法;
2000~2015,Ready-to-Eat (RTE),Pork,Prosciutto,,plate_count,Listeria monocytogenes,5,CFU/g,Tokyo Metropolitan Institute of Public Health,食品からのListeria monocytogenes検出法 および定量法の比較,https://www.jstage.jst.go.jp/article/jsfm/33/3/33_155/_pdf,,検査方法_詳細: ISO定量法;
2000~2015,Ready-to-Eat (RTE),Aquatic food product,Other processed seafood products,Negitoro (minced tuna),MPN,Listeria monocytogenes,2.3,MPN/g,Tokyo Metropolitan Institute of Public Health,食品からのListeria monocytogenes検出法 および定量法の比較,https://www.jstage.jst.go.jp/article/jsfm/33/3/33_155/_pdf,,検査方法_詳細: ISO定量法;
2000~2015,Ready-to-Eat (RTE),"Other, mixed, uncategorised or unknown types of food",RTE foods and similar products,,plate_count,Listeria monocytogenes,<10,CFU/g,Tokyo Metropolitan Institute of Public Health,食品からのListeria monocytogenes検出法 および定量法の比較,https://www.jstage.jst.go.jp/article/jsfm/33/3/33_155/_pdf,,検査方法_詳細: ISO定量法;
2000~2015,Ready-to-Eat (RTE),"Other, mixed, uncategorised or unknown types of food",RTE foods and similar products,,plate_count,Listeria monocytogenes,<10,CFU/g,Tokyo Metropolitan Institute of Public Health,食品からのListeria monocytogenes検出法 および定量法の比較,https://www.jstage.jst.go.jp/article/jsfm/33/3/33_155/_pdf,,検査方法_詳細: ISO定量法;
2000~2015,Ready-to-Eat (RTE),"Other, mixed, uncategorised or unknown types of food",RTE foods and similar products,,plate_count,Listeria monocytogenes,<10,CFU/g,Tokyo Metropolitan Institute of Public Health,食品からのListeria monocytogenes検出法 および定量法の比較,https://www.jstage.jst.go.jp/article/jsfm/33/3/33_155/_pdf,,検査方法_詳細: ISO定量法;
2000~2015,Ready-to-Eat (RTE),"Other, mixed, uncategorised or unknown types of food",RTE foods and similar products,,plate_count,Listeria monocytogenes,<10,CFU/g,Tokyo Metropolitan Institute of Public Health,食品からのListeria monocytogenes検出法 および定量法の比較,https://www.jstage.jst.go.jp/article/jsfm/33/3/33_155/_pdf,,検査方法_詳細: ISO定量法;
2000~2015,Ready-to-Eat (RTE),"Other, mixed, uncategorised or unknown types of food",RTE foods and similar products,,plate_count,Listeria monocytogenes,<10,CFU/g,Tokyo Metropolitan Institute of Public Health,食品からのListeria monocytogenes検出法 および定量法の比較,https://www.jstage.jst.go.jp/article/jsfm/33/3/33_155/_pdf,,検査方法_詳細: ISO定量法;
2000~2015,Ready-to-Eat (RTE),"Other, mixed, uncategorised or unknown types of food",RTE foods and similar products,,plate_count,Listeria monocytogenes,<10,CFU/g,Tokyo Metropolitan Institute of Public Health,食品からのListeria monocytogenes検出法 および定量法の比較,https://www.jstage.jst.go.jp/article/jsfm/33/3/33_155/_pdf,,検査方法_詳細: ISO定量法;
