年度,食品群,検体名,Bacteria,Serotype,検体数,陽性数,品目カテゴリ
2008,加工品,漬物,E.coli,-,233,26,厚生労働省指定品目
2008,加工品,漬物,カンピロバクター,-,233,-,厚生労働省指定品目
2008,加工品,漬物,サルモネラ属菌,-,233,-,厚生労働省指定品目
2008,加工品,漬物,腸管出血性大腸菌,O157,233,-,厚生労働省指定品目
2008,加工品,漬物,腸管出血性大腸菌,O26,233,-,厚生労働省指定品目
2008,野菜,その他のスプラウト,E.coli,-,17,2,実施自治体*1選定品目
2008,野菜,その他のスプラウト,カンピロバクター,-,17,-,実施自治体*1選定品目
2008,野菜,その他のスプラウト,サルモネラ属菌,-,17,-,実施自治体*1選定品目
2008,野菜,その他のスプラウト,腸管出血性大腸菌,O157,17,-,実施自治体*1選定品目
2008,野菜,その他のスプラウト,腸管出血性大腸菌,O26,17,-,実施自治体*1選定品目
2008,野菜,その他の野菜*2,E.coli,-,93,13,実施自治体*1選定品目
2008,野菜,その他の野菜*2,カンピロバクター,-,93,-,実施自治体*1選定品目
2008,野菜,その他の野菜*2,サルモネラ属菌,-,93,-,実施自治体*1選定品目
2008,野菜,その他の野菜*2,腸管出血性大腸菌,O157,93,-,実施自治体*1選定品目
2008,野菜,その他の野菜*2,腸管出血性大腸菌,O26,93,-,実施自治体*1選定品目
2008,野菜,なす,E.coli,-,22,-,実施自治体*1選定品目
2008,野菜,なす,カンピロバクター,-,22,-,実施自治体*1選定品目
2008,野菜,なす,サルモネラ属菌,-,22,-,実施自治体*1選定品目
2008,野菜,なす,腸管出血性大腸菌,O157,22,-,実施自治体*1選定品目
2008,野菜,なす,腸管出血性大腸菌,O26,22,-,実施自治体*1選定品目
2008,野菜,みつば,E.coli,-,62,29,厚生労働省指定品目
2008,野菜,みつば,カンピロバクター,-,62,-,厚生労働省指定品目
2008,野菜,みつば,サルモネラ属菌,-,62,-,厚生労働省指定品目
2008,野菜,みつば,腸管出血性大腸菌,O157,62,-,厚生労働省指定品目
2008,野菜,みつば,腸管出血性大腸菌,O26,62,-,厚生労働省指定品目
2008,野菜,もやし,E.coli,-,115,47,厚生労働省指定品目
2008,野菜,もやし,カンピロバクター,-,115,-,厚生労働省指定品目
2008,野菜,もやし,サルモネラ属菌,-,115,1,厚生労働省指定品目
2008,野菜,もやし,腸管出血性大腸菌,O157,115,-,厚生労働省指定品目
2008,野菜,もやし,腸管出血性大腸菌,O26,115,-,厚生労働省指定品目
2008,野菜,アルファルファ,E.coli,-,21,2,厚生労働省指定品目
2008,野菜,アルファルファ,カンピロバクター,-,21,-,厚生労働省指定品目
2008,野菜,アルファルファ,サルモネラ属菌,-,21,-,厚生労働省指定品目
2008,野菜,アルファルファ,腸管出血性大腸菌,O157,21,-,厚生労働省指定品目
2008,野菜,アルファルファ,腸管出血性大腸菌,O26,21,-,厚生労働省指定品目
2008,野菜,カイワレ,E.coli,-,93,11,厚生労働省指定品目
2008,野菜,カイワレ,カンピロバクター,-,93,-,厚生労働省指定品目
2008,野菜,カイワレ,サルモネラ属菌,-,93,-,厚生労働省指定品目
2008,野菜,カイワレ,腸管出血性大腸菌,O157,93,-,厚生労働省指定品目
2008,野菜,カイワレ,腸管出血性大腸菌,O26,93,-,厚生労働省指定品目
2008,野菜,カット野菜,E.coli,-,177,8,厚生労働省指定品目
2008,野菜,カット野菜,カンピロバクター,-,177,-,厚生労働省指定品目
2008,野菜,カット野菜,サルモネラ属菌,-,177,-,厚生労働省指定品目
2008,野菜,カット野菜,腸管出血性大腸菌,O157,177,-,厚生労働省指定品目
2008,野菜,カット野菜,腸管出血性大腸菌,O26,177,-,厚生労働省指定品目
2008,野菜,タマネギ,E.coli,-,10,-,実施自治体*1選定品目
2008,野菜,タマネギ,カンピロバクター,-,10,-,実施自治体*1選定品目
2008,野菜,タマネギ,サルモネラ属菌,-,10,-,実施自治体*1選定品目
2008,野菜,タマネギ,腸管出血性大腸菌,O157,10,-,実施自治体*1選定品目
2008,野菜,タマネギ,腸管出血性大腸菌,O26,10,-,実施自治体*1選定品目
2008,野菜,トマト,E.coli,-,103,3,実施自治体*1選定品目
2008,野菜,トマト,カンピロバクター,-,103,-,実施自治体*1選定品目
2008,野菜,トマト,サルモネラ属菌,-,103,-,実施自治体*1選定品目
2008,野菜,トマト,腸管出血性大腸菌,O157,103,-,実施自治体*1選定品目
2008,野菜,トマト,腸管出血性大腸菌,O26,103,-,実施自治体*1選定品目
2008,野菜,ニンジン,E.coli,-,18,1,実施自治体*1選定品目
2008,野菜,ニンジン,カンピロバクター,-,18,-,実施自治体*1選定品目
2008,野菜,ニンジン,サルモネラ属菌,-,18,-,実施自治体*1選定品目
2008,野菜,ニンジン,腸管出血性大腸菌,O157,18,-,実施自治体*1選定品目
2008,野菜,ニンジン,腸管出血性大腸菌,O26,18,-,実施自治体*1選定品目
2008,野菜,ブロッコリースプラウト,E.coli,-,17,1,実施自治体*1選定品目
2008,野菜,ブロッコリースプラウト,カンピロバクター,-,17,-,実施自治体*1選定品目
2008,野菜,ブロッコリースプラウト,サルモネラ属菌,-,17,-,実施自治体*1選定品目
2008,野菜,ブロッコリースプラウト,腸管出血性大腸菌,O157,17,-,実施自治体*1選定品目
2008,野菜,ブロッコリースプラウト,腸管出血性大腸菌,O26,17,-,実施自治体*1選定品目
2008,野菜,ミニトマト,E.coli,-,21,-,実施自治体*1選定品目
2008,野菜,ミニトマト,カンピロバクター,-,21,-,実施自治体*1選定品目
2008,野菜,ミニトマト,サルモネラ属菌,-,21,-,実施自治体*1選定品目
2008,野菜,ミニトマト,腸管出血性大腸菌,O157,21,-,実施自治体*1選定品目
2008,野菜,ミニトマト,腸管出血性大腸菌,O26,21,-,実施自治体*1選定品目
2008,野菜,レタス,E.coli,-,98,2,厚生労働省指定品目
2008,野菜,レタス,カンピロバクター,-,98,-,厚生労働省指定品目
2008,野菜,レタス,サルモネラ属菌,-,98,-,厚生労働省指定品目
2008,野菜,レタス,腸管出血性大腸菌,O157,98,-,厚生労働省指定品目
2008,野菜,レタス,腸管出血性大腸菌,O26,98,-,厚生労働省指定品目
2008,野菜,大根,E.coli,-,26,5,実施自治体*1選定品目
2008,野菜,大根,カンピロバクター,-,26,-,実施自治体*1選定品目
2008,野菜,大根,サルモネラ属菌,-,26,-,実施自治体*1選定品目
2008,野菜,大根,腸管出血性大腸菌,O157,26,-,実施自治体*1選定品目
2008,野菜,大根,腸管出血性大腸菌,O26,26,-,実施自治体*1選定品目
2008,野菜,水菜,E.coli,-,16,3,実施自治体*1選定品目
2008,野菜,水菜,カンピロバクター,-,16,-,実施自治体*1選定品目
2008,野菜,水菜,サルモネラ属菌,-,16,-,実施自治体*1選定品目
2008,野菜,水菜,腸管出血性大腸菌,O157,16,-,実施自治体*1選定品目
2008,野菜,水菜,腸管出血性大腸菌,O26,16,-,実施自治体*1選定品目
2008,野菜,漬け物野菜,E.coli,-,154,10,厚生労働省指定品目
2008,野菜,漬け物野菜,カンピロバクター,-,154,-,厚生労働省指定品目
2008,野菜,漬け物野菜,サルモネラ属菌,-,154,-,厚生労働省指定品目
2008,野菜,漬け物野菜,腸管出血性大腸菌,O157,154,-,厚生労働省指定品目
2008,野菜,漬け物野菜,腸管出血性大腸菌,O26,154,-,厚生労働省指定品目
2008,野菜,長ネギ,E.coli,-,14,1,実施自治体*1選定品目
2008,野菜,長ネギ,カンピロバクター,-,14,-,実施自治体*1選定品目
2008,野菜,長ネギ,サルモネラ属菌,-,14,-,実施自治体*1選定品目
2008,野菜,長ネギ,腸管出血性大腸菌,O157,14,-,実施自治体*1選定品目
2008,野菜,長ネギ,腸管出血性大腸菌,O26,14,-,実施自治体*1選定品目
2008,野菜,ｷｭｳﾘ,E.coli,-,85,5,厚生労働省指定品目
2008,野菜,ｷｭｳﾘ,カンピロバクター,-,85,-,厚生労働省指定品目
2008,野菜,ｷｭｳﾘ,サルモネラ属菌,-,85,-,厚生労働省指定品目
2008,野菜,ｷｭｳﾘ,腸管出血性大腸菌,O157,85,-,厚生労働省指定品目
2008,野菜,ｷｭｳﾘ,腸管出血性大腸菌,O26,85,-,厚生労働省指定品目
2008,食肉,その他の加工用食肉等*3,E.coli,-,29,19,実施自治体*1選定品目
2008,食肉,その他の加工用食肉等*3,カンピロバクター,-,29,5,実施自治体*1選定品目
2008,食肉,その他の加工用食肉等*3,サルモネラ属菌,-,29,-,実施自治体*1選定品目
2008,食肉,その他の加工用食肉等*3,腸管出血性大腸菌,O157,29,-,実施自治体*1選定品目
2008,食肉,その他の加工用食肉等*3,腸管出血性大腸菌,O26,29,-,実施自治体*1選定品目
2008,食肉,その他の生食用食肉*4,E.coli,-,11,10,実施自治体*1選定品目
2008,食肉,その他の生食用食肉*4,カンピロバクター,-,11,-,実施自治体*1選定品目
2008,食肉,その他の生食用食肉*4,サルモネラ属菌,-,11,1,実施自治体*1選定品目
2008,食肉,その他の生食用食肉*4,腸管出血性大腸菌,O157,11,-,実施自治体*1選定品目
2008,食肉,その他の生食用食肉*4,腸管出血性大腸菌,O26,11,-,実施自治体*1選定品目
2008,食肉,その他の食肉加工品*5,E.coli,-,8,6,実施自治体*1選定品目
2008,食肉,その他の食肉加工品*5,カンピロバクター,-,8,-,実施自治体*1選定品目
2008,食肉,その他の食肉加工品*5,サルモネラ属菌,-,8,-,実施自治体*1選定品目
2008,食肉,その他の食肉加工品*5,腸管出血性大腸菌,O157,8,-,実施自治体*1選定品目
2008,食肉,その他の食肉加工品*5,腸管出血性大腸菌,O26,8,-,実施自治体*1選定品目
2008,食肉,カットステーキ肉,E.coli,-,94,59,厚生労働省指定品目
2008,食肉,カットステーキ肉,カンピロバクター,-,94,-,厚生労働省指定品目
2008,食肉,カットステーキ肉,サルモネラ属菌,-,94,-,厚生労働省指定品目
2008,食肉,カットステーキ肉,腸管出血性大腸菌,O157,94,-,厚生労働省指定品目
2008,食肉,カットステーキ肉,腸管出血性大腸菌,O26,94,-,厚生労働省指定品目
2008,食肉,ミンチ肉（牛豚混合）,E.coli,-,119,88,厚生労働省指定品目
